keyword,title,price,seller_name,seller_region,want_count,view_count,message_text,detail_visible_texts,detail_text
黄水,天然水晶默认微瑕（棉絮、冰絮、共生等），完美主义慎拍,120,可塘工厂水晶批发,汕尾,9,499,,"[""可塘工厂水晶批发\n4小时前来过\n汕尾"", ""现价120 , ¥\n120\n包邮\n9人想要\n499浏览"", ""巴西黄水晶"", ""卡14mm+"", ""天然水晶默认微瑕（棉絮、冰絮、共生等），完美主义慎拍"", ""标价就是卖价，都是批发价了哦，不议价哦，售出不退不换"", ""喜欢可以直接拍 ，所有照片都是实拍，看视频可私我"", ""新疆西藏地区不包邮哦"", ""大批量拿货批发的可私我"", ""3.14"", ""品牌\nDIY"", ""成色\n全新"", ""材质\n水晶"", ""适用性别\n通用""]","标价就是卖价，都是批发价了哦，不议价哦，售出不退不换

喜欢可以直接拍 ，所有照片都是实拍，看视频可私我"
黄水,几乎全新黄水晶水滴手链，珠子通透饱满，颜色很正，阳光下闪闪发光，巴西老矿料，天然水晶，无优化，无色带，无证书，珠子有天然纹理，完美主义慎拍～,118,素心小物,商丘,14,390,,"[""素心小物\n51分钟前来过\n商丘"", ""现价118 , ¥\n118\n包邮\n14人想要\n390浏览"", ""几乎全新黄水晶水滴手链，珠子通透饱满，颜色很正，阳光下闪闪发光，巴西老矿料，天然水晶，无优化，无色带，无证书，珠子有天然纹理，完美主义慎拍～"", ""包邮，同城可自提，价格可聊，喜欢直接拍，细节图私聊发～"", ""成色\n几乎全新"", ""材质\n水晶""]",包邮，同城可自提，价格可聊，喜欢直接拍，细节图私聊发～
黄水,卡 11➕巴西黄水钻切，手围 16 左右，近净体，无棉无杂，前面是室内拍的，后面白纸是打灯拍的，可以看到色带，已经换了白线，默认微瑕，不退不换,280,陶子vvvv,武汉,1,90,,"[""宝贝视频"", ""开启声音"", ""3%"", ""陶子vvvv\n24分钟前来过\n武汉"", ""现价280 , 活动价\n¥\n261\n包邮\n1人想要\n90浏览"", ""描述不符包邮退\n满足条件时，买家可退货且运费由卖家承担"", ""卡 11➕巴西黄水钻切，手围 16 左右，近净体，无棉无杂，前面是室内拍的，后面白纸是打灯拍的，可以看到色带，已经换了白线，默认微瑕，不退不换"", ""适用性别\n女""]","描述不符包邮退
满足条件时，买家可退货且运费由卖家承担"
黄水,14➕左右黄水，手围15,160,买东西还要起什么名,上海,18,878,,"[""宝贝视频"", ""开启声音"", ""0%"", ""买东西还要起什么名\n56分钟前来过\n上海"", ""现价160 , ¥\n160\n包邮\n18人想要\n878浏览"", ""14➕左右黄水，手围15"", ""非全净，细节可看视频"", ""会耐心回复问题，但喜欢已读不回的别来，不要浪费你我时间，这是我第一次标这句话"", ""个人闲置 默认微瑕售出不退换""]","会耐心回复问题，但喜欢已读不回的别来，不要浪费你我时间，这是我第一次标这句话

个人闲置 默认微瑕售出不退换"
黄水,闲鱼币可抵7.40元,148,请叫我番茄大大,广州,8,444,,"[""请叫我番茄大大\n3小时前来过\n广州"", ""现价148 , ¥\n148\n包邮\n8人想要\n444浏览"", ""闲鱼币可抵7.40元"", ""出一条7大+mm几乎净体巴西黄水晶，有天然色带，微微的小瑕图片可以看到"", ""售前看好，售出不退不换，跑单费20%，非偏远包邮"", ""成色\n几乎全新"", ""材质\n水晶""]","出一条7大+mm几乎净体巴西黄水晶，有天然色带，微微的小瑕图片可以看到

售前看好，售出不退不换，跑单费20%，非偏远包邮"
黄水,小暴力黄，巴西黄水,178,高铁奶油味的狼牙鱼,天津,2,193,,"[""高铁奶油味的狼牙鱼\n40分钟前来过\n天津"", ""现价178 , ¥\n178\n包邮\n2人想要\n193浏览"", ""小暴力黄，巴西黄水"", ""5.8mm 手围16-17 98净～"", ""图片, 非偏远"", ""标价可直拍 zk再➖10"", ""二手闲置售出不退换"", ""材质\n水晶""]","5.8mm 手围16-17 98净～

标价可直拍 zk再➖10"
黄水,卡11.8咪重40g,280,到底想干嘛,保定,10,1094,,"[""到底想干嘛\n46分钟前来过\n保定"", ""现价280 , ¥\n280\n包邮\n10人想要\n1094浏览"", ""巴西黄水晶"", ""卡11.8咪重40g"", ""天然巴西黄水，色很淡但不是意念黄，光感好"", ""体有冰片，表皮孔道有瑕，有过灯净度自行判断"", ""不议价"", ""包邮非偏远"", ""不要蹲降价哈，这个价出不掉就不出"", ""品牌\nDIY"", ""成色\n几乎全新"", ""材质\n水晶"", ""适用性别\n女""]","天然巴西黄水，色很淡但不是意念黄，光感好

体有冰片，表皮孔道有瑕，有过灯净度自行判断

不要蹲降价哈，这个价出不掉就不出"
黄水,鱼油黄 巴西黄水晶 15mm,950,火山口遛狗的海葵,淄博,23,1812,,"[""宝贝视频"", ""播放视频"", ""关闭声音"", ""火山口遛狗的海葵\n2小时前来过\n淄博"", ""现价950 , ¥\n950\n包邮\n23人想要\n1812浏览"", ""鱼油黄 巴西黄水晶 15mm"", ""因为吃瓜所以想赶紧出掉这串了，眼不见心不烦，自刀200，zk930出"", ""体一般，有冰片和小扣手"", ""有几颗孔道口不太好"", ""上手瑕疵不明显，手围小"", ""素串的话我14.5手围戴着刚好"", ""色带很明显，非烤色黄水"", ""材质\n水晶""]","因为吃瓜所以想赶紧出掉这串了，眼不见心不烦，自刀200，zk930出

素串的话我14.5手围戴着刚好"
黄水,巴西黄水小金豆，色很浓，卡8➕，98净，手围15左右。最后一张是很蜂蜜水颜色对比。小白勿扰，不做任何科普。出闲置不是客服。,400,督院街干饭的虎鱼,开封,5,422,,"[""宝贝视频"", ""播放视频"", ""关闭声音"", ""督院街干饭的虎鱼\n2分钟前来过\n开封"", ""现价400 , ¥\n400\n包邮\n5人想要\n422浏览"", ""巴西黄水小金豆，色很浓，卡8➕，98净，手围15左右。最后一张是很蜂蜜水颜色对比。小白勿扰，不做任何科普。出闲置不是客服。"", ""个别珠子有冰片，珠子孔道可能不太精致，完美主义，放大镜勿扰谢谢！考虑好再问节约彼此时间。"", ""仅直k，标价包邮。想好再问图片都是原相机直拍。色很浓，随意比价。"", ""（不议价，议价关小黑屋）预算不合适可以看"", ""预算合适的。上来直接砍价无意购买以及问诸多细节无意购买的勿扰，已读不回和假装没读及无缘无故跑单的一律拉黑。""]","个别珠子有冰片，珠子孔道可能不太精致，完美主义，放大镜勿扰谢谢！考虑好再问节约彼此时间。

仅直k，标价包邮。想好再问图片都是原相机直拍。色很浓，随意比价。

（不议价，议价关小黑屋）预算不合适可以看

预算合适的。上来直接砍价无意购买以及问诸多细节无意购买的勿扰，已读不回和假装没读及无缘无故跑单的一律拉黑。"
黄水,卡12纯净体透亮巴西黄水晶,456,尊嘟太困啦,苏州,13,1053,,"[""尊嘟太困啦\n3小时前来过\n苏州"", ""现价456 , ¥\n456\n包邮\n13人想要\n1053浏览"", ""卡12纯净体透亮巴西黄水晶"", ""纯净体，晶体干净透亮，蜂蜜水黄嫩嫩的，穿的透明线，没有色线颜色加成"", ""保真无酸洗染色，支持全国复检，自己去市场挑的珠子凑的一串，品相很完美"", ""手围16及以内可以戴"", ""包邮 不退不换"", ""因为最近喜欢小咪的 所以出了"", ""品牌\nDIY"", ""成色\n几乎全新"", ""材质\n水晶"", ""适用性别\n通用""]","纯净体，晶体干净透亮，蜂蜜水黄嫩嫩的，穿的透明线，没有色线颜色加成

保真无酸洗染色，支持全国复检，自己去市场挑的珠子凑的一串，品相很完美

因为最近喜欢小咪的 所以出了"
